X,Y
5.8974,9.5513
10.2564,9.5513
10.7692,11.0897
12.5641,15.3205
13.0769,17.6282
16.4103,19.9359
22.8205,29.9359
26.1538,17.2436
28.9744,21.859
29.2308,29.9359
36.4103,33.7821
41.5385,32.6282
32.5641,44.9359
42.3077,46.0897
46.1538,44.5513
51.2821,44.1667
45.1282,53.0128
54.8718,62.2436
55.1282,49.9359
59.4872,53.0128
52.5641,54.1667
62.3077,60.3205
57.6923,66.4744
65.641,68.7821
72.5641,68.3974
60.7692,66.0897
71.7949,74.5513
66.9231,77.6282
79.7436,73.3974
77.9487,80.3205
88.7179,76.859
84.8718,83.7821
91.2821,84.9359
93.8462,92.6282
98.9744,84.5513
98.4615,89.1667
